Time [s], Analyzer Name, Decoded Protocol Result
0.015144000000000,I2C,Setup Write to ['148'] + ACK
0.026742000000000,I2C,'5' + ACK
0.032514000000000,I2C,Setup Read to ['149'] + ACK
0.032866000000000,I2C,'5' + ACK
0.033220000000000,I2C,'0' + ACK
0.033572000000000,I2C,'0' + ACK
0.033932000000000,I2C,o + NAK
0.039820000000000,I2C,Setup Write to ['150'] + ACK
0.040192000000000,I2C,'5' + ACK
0.040936000000000,I2C,Setup Read to ['151'] + ACK
0.041290000000000,I2C,L + ACK
0.041642000000000,I2C,'255' + ACK
0.041996000000000,I2C,0 + ACK
0.042356000000000,I2C,M + NAK
0.043068000000000,I2C,Setup Write to ['152'] + ACK
0.043440000000000,I2C,'5' + ACK
0.044184000000000,I2C,Setup Read to ['153'] + ACK
0.044538000000000,I2C,D + ACK
0.044890000000000,I2C,D + ACK
0.045242000000000,I2C,D + ACK
0.050804000000000,I2C,D + NAK
