Time [s], Analyzer Name, Decoded Protocol Result
7.657604000000000,I2C,Setup Read to [C] + NAK
7.662198000000000,I2C,Setup Read to [M] + NAK
7.662964000000000,I2C,Setup Read to [E] + NAK
7.663730000000000,I2C,Setup Write to [@] + NAK
7.664484000000000,I2C,Setup Write to [D] + NAK
7.665240000000000,I2C,Setup Write to [F] + NAK
7.665996000000000,I2C,Setup Write to [N] + NAK
7.666752000000000,I2C,Setup Write to [L] + NAK
7.667506000000000,I2C,Setup Write to [L] + NAK
7.668262000000000,I2C,Setup Write to ['144'] + NAK
7.673168000000000,I2C,Setup Write to ['146'] + NAK
7.673924000000000,I2C,Setup Write to ['148'] + ACK
7.674416000000000,I2C,'5' + ACK
7.675212000000000,I2C,Setup Read to ['149'] + ACK
7.675684000000000,I2C,'5' + ACK
7.676158000000000,I2C,'0' + ACK
7.676630000000000,I2C,'0' + ACK
7.677108000000000,I2C,B + NAK
7.677874000000000,I2C,Setup Write to ['150'] + ACK
7.678366000000000,I2C,'5' + ACK
7.679162000000000,I2C,Setup Read to ['151'] + ACK
7.679784000000000,I2C,L + ACK
7.684632000000000,I2C,'255' + ACK
7.685104000000000,I2C,0 + ACK
7.685584000000000,I2C,M + NAK
7.686348000000000,I2C,Setup Write to ['152'] + ACK
7.686840000000000,I2C,'5' + ACK
7.687638000000000,I2C,Setup Read to ['153'] + ACK
7.688110000000000,I2C,D + ACK
7.688582000000000,I2C,D + ACK
7.689054000000000,I2C,D + ACK
7.689534000000000,I2C,D + NAK
7.690300000000000,I2C,Setup Write to ['160'] + NAK
7.695752000000000,I2C,Setup Read to ['161'] + NAK
7.696516000000000,I2C,Setup Write to ['162'] + NAK
7.697272000000000,I2C,Setup Read to ['163'] + NAK
7.698038000000000,I2C,Setup Write to ['164'] + NAK
7.698794000000000,I2C,Setup Read to ['165'] + NAK
7.699558000000000,I2C,Setup Write to ['166'] + NAK
7.700314000000000,I2C,Setup Read to ['167'] + NAK
7.701078000000000,I2C,Setup Write to ['168'] + NAK
7.701982000000000,I2C,Setup Read to ['169'] + NAK
7.725624000000000,I2C,Setup Write to ['170'] + NAK
7.726378000000000,I2C,Setup Read to ['171'] + NAK
7.727144000000000,I2C,Setup Write to ['172'] + NAK
7.727900000000000,I2C,Setup Read to ['173'] + NAK
7.728664000000000,I2C,Setup Write to ['174'] + NAK
7.729420000000000,I2C,Setup Read to ['175'] + NAK
7.730828000000000,I2C,Setup Read to [C] + NAK
7.731592000000000,I2C,Setup Read to [M] + NAK
7.732358000000000,I2C,Setup Read to [E] + NAK
7.733124000000000,I2C,Setup Write to [@] + NAK
7.733878000000000,I2C,Setup Write to [D] + NAK
7.734634000000000,I2C,Setup Write to [F] + NAK
7.735538000000000,I2C,Setup Write to [N] + NAK
7.740656000000000,I2C,Setup Write to [L] + NAK
7.741412000000000,I2C,Setup Write to [L] + NAK
7.742166000000000,I2C,Setup Write to ['144'] + NAK
7.742922000000000,I2C,Setup Write to ['146'] + NAK
7.743678000000000,I2C,Setup Write to ['148'] + ACK
7.744170000000000,I2C,'5' + ACK
7.744966000000000,I2C,Setup Read to ['149'] + ACK
7.745440000000000,I2C,'5' + ACK
7.745912000000000,I2C,'0' + ACK
7.746532000000000,I2C,'0' + ACK
7.751374000000000,I2C,B + NAK
7.752140000000000,I2C,Setup Write to ['150'] + ACK
7.752632000000000,I2C,'5' + ACK
7.753428000000000,I2C,Setup Read to ['151'] + ACK
7.753902000000000,I2C,L + ACK
7.754374000000000,I2C,'255' + ACK
7.754846000000000,I2C,0 + ACK
7.755326000000000,I2C,M + NAK
7.756090000000000,I2C,Setup Write to ['152'] + ACK
7.756582000000000,I2C,'5' + ACK
7.757526000000000,I2C,Setup Read to ['153'] + ACK
7.762566000000000,I2C,D + ACK
7.763038000000000,I2C,D + ACK
7.763510000000000,I2C,D + ACK
7.763990000000000,I2C,D + NAK
7.764756000000000,I2C,Setup Write to ['160'] + NAK
7.765510000000000,I2C,Setup Read to ['161'] + NAK
7.766312000000000,I2C,Setup Write to ['162'] + NAK
7.766916000000000,I2C,Setup Read to ['163'] + NAK
7.767530000000000,I2C,Setup Write to ['164'] + NAK
7.768134000000000,I2C,Setup Read to ['165'] + NAK
7.768896000000000,I2C,Setup Write to ['166'] + NAK
7.774050000000000,I2C,Setup Read to ['167'] + NAK
7.774664000000000,I2C,Setup Write to ['168'] + NAK
7.775270000000000,I2C,Setup Read to ['169'] + NAK
7.775884000000000,I2C,Setup Write to ['170'] + NAK
7.776488000000000,I2C,Setup Read to ['171'] + NAK
7.777102000000000,I2C,Setup Write to ['172'] + NAK
7.777708000000000,I2C,Setup Read to ['173'] + NAK
7.778322000000000,I2C,Setup Write to ['174'] + NAK
7.778926000000000,I2C,Setup Read to ['175'] + NAK
7.780330000000000,I2C,Setup Read to [C] + NAK
7.785482000000000,I2C,Setup Read to [M] + NAK
7.786096000000000,I2C,Setup Read to [E] + NAK
7.786710000000000,I2C,Setup Write to [@] + NAK
7.787316000000000,I2C,Setup Write to [D] + NAK
7.787920000000000,I2C,Setup Write to [F] + NAK
7.788524000000000,I2C,Setup Write to [N] + NAK
7.789128000000000,I2C,Setup Write to [L] + NAK
7.789734000000000,I2C,Setup Write to [L] + NAK
7.790338000000000,I2C,Setup Write to ['144'] + NAK
7.791090000000000,I2C,Setup Write to ['146'] + NAK
7.796268000000000,I2C,Setup Write to ['148'] + ACK
7.796592000000000,I2C,'5' + ACK
7.797238000000000,I2C,Setup Read to ['149'] + ACK
7.797542000000000,I2C,'5' + ACK
7.797846000000000,I2C,'0' + ACK
7.798150000000000,I2C,'0' + ACK
7.798462000000000,I2C,B + NAK
7.799076000000000,I2C,Setup Write to ['150'] + ACK
7.799400000000000,I2C,'5' + ACK
7.800046000000000,I2C,Setup Read to ['151'] + ACK
7.800350000000000,I2C,L + ACK
7.800654000000000,I2C,'255' + ACK
7.800958000000000,I2C,0 + ACK
7.801270000000000,I2C,M + NAK
7.802032000000000,I2C,Setup Write to ['152'] + ACK
7.806880000000000,I2C,'5' + ACK
7.807526000000000,I2C,Setup Read to ['153'] + ACK
7.807832000000000,I2C,D + ACK
7.808136000000000,I2C,D + ACK
7.808440000000000,I2C,D + ACK
7.808750000000000,I2C,D + NAK
7.809366000000000,I2C,Setup Write to ['160'] + NAK
7.809970000000000,I2C,Setup Read to ['161'] + NAK
7.810584000000000,I2C,Setup Write to ['162'] + NAK
7.811188000000000,I2C,Setup Read to ['163'] + NAK
7.811802000000000,I2C,Setup Write to ['164'] + NAK
7.812408000000000,I2C,Setup Read to ['165'] + NAK
7.813170000000000,I2C,Setup Write to ['166'] + NAK
7.830496000000000,I2C,Setup Read to ['167'] + NAK
7.831112000000000,I2C,Setup Write to ['168'] + NAK
7.831716000000000,I2C,Setup Read to ['169'] + NAK
7.832330000000000,I2C,Setup Write to ['170'] + NAK
7.832934000000000,I2C,Setup Read to ['171'] + NAK
7.833548000000000,I2C,Setup Write to ['172'] + NAK
7.834154000000000,I2C,Setup Read to ['173'] + NAK
7.834768000000000,I2C,Setup Write to ['174'] + NAK
7.835520000000000,I2C,Setup Read to ['175'] + NAK
7.841326000000000,I2C,Setup Read to [C] + NAK
