Time [s], Analyzer Name, Decoded Protocol Result
7.043994000000000,I2C,Setup Read to [C] + NAK
7.048724000000000,I2C,Setup Read to [M] + NAK
7.049490000000000,I2C,Setup Read to [E] + NAK
7.050256000000000,I2C,Setup Write to [@] + NAK
7.051010000000000,I2C,Setup Write to [D] + NAK
7.051766000000000,I2C,Setup Write to [F] + NAK
7.052522000000000,I2C,Setup Write to [N] + NAK
7.053276000000000,I2C,Setup Write to [L] + NAK
7.054032000000000,I2C,Setup Write to [L] + NAK
7.054788000000000,I2C,Setup Write to ['144'] + NAK
7.055690000000000,I2C,Setup Write to ['146'] + NAK
7.060264000000000,I2C,Setup Write to ['148'] + ACK
7.060756000000000,I2C,'5' + ACK
7.061552000000000,I2C,Setup Read to ['149'] + ACK
7.062026000000000,I2C,a + ACK
7.062498000000000,I2C,r + ACK
7.062970000000000,I2C,n + ACK
7.063450000000000,I2C,i + NAK
7.064214000000000,I2C,Setup Write to ['150'] + ACK
7.064706000000000,I2C,'5' + ACK
7.065502000000000,I2C,Setup Read to ['151'] + ACK
7.065976000000000,I2C,'0' + ACK
7.066448000000000,I2C,'0' + ACK
7.066882000000000,I2C,B + ACK
7.074370000000000,I2C,W + NAK
7.075136000000000,I2C,Setup Write to ['152'] + ACK
7.075628000000000,I2C,'5' + ACK
7.076424000000000,I2C,Setup Read to ['153'] + ACK
7.076898000000000,I2C,'255' + ACK
7.077370000000000,I2C,0 + ACK
7.077990000000000,I2C,M + ACK
7.085440000000000,I2C,'5' + NAK
7.086206000000000,I2C,Setup Write to ['160'] + NAK
7.086962000000000,I2C,Setup Read to ['161'] + NAK
7.087726000000000,I2C,Setup Write to ['162'] + NAK
7.088482000000000,I2C,Setup Read to ['163'] + NAK
7.109600000000000,I2C,Setup Write to ['164'] + NAK
7.117500000000000,I2C,Setup Read to ['165'] + NAK
7.118266000000000,I2C,Setup Write to ['166'] + NAK
7.119020000000000,I2C,Setup Read to ['167'] + NAK
7.119786000000000,I2C,Setup Write to ['168'] + NAK
7.120542000000000,I2C,Setup Read to ['169'] + NAK
7.121306000000000,I2C,Setup Write to ['170'] + NAK
7.122062000000000,I2C,Setup Read to ['171'] + NAK
7.129946000000000,I2C,Setup Write to ['172'] + NAK
7.130702000000000,I2C,Setup Read to ['173'] + NAK
7.131466000000000,I2C,Setup Write to ['174'] + NAK
7.132222000000000,I2C,Setup Read to ['175'] + NAK
7.133778000000000,I2C,Setup Read to [C] + NAK
7.141502000000000,I2C,Setup Read to [M] + NAK
7.142268000000000,I2C,Setup Read to [E] + NAK
7.143034000000000,I2C,Setup Write to [@] + NAK
7.143788000000000,I2C,Setup Write to [D] + NAK
7.144692000000000,I2C,Setup Write to [F] + NAK
7.152532000000000,I2C,Setup Write to [N] + NAK
7.153288000000000,I2C,Setup Write to [L] + NAK
7.154044000000000,I2C,Setup Write to [L] + NAK
7.155020000000000,I2C,Setup Write to ['144'] + NAK
7.155772000000000,I2C,Setup Write to ['146'] + NAK
7.163522000000000,I2C,Setup Write to ['148'] + ACK
7.163846000000000,I2C,'5' + ACK
7.164492000000000,I2C,Setup Read to ['149'] + ACK
7.164796000000000,I2C,a + ACK
7.165100000000000,I2C,r + ACK
7.165404000000000,I2C,n + ACK
7.165716000000000,I2C,i + NAK
7.166330000000000,I2C,Setup Write to ['150'] + ACK
7.166802000000000,I2C,'5' + ACK
7.174604000000000,I2C,Setup Read to ['151'] + ACK
7.174910000000000,I2C,'0' + ACK
7.175214000000000,I2C,'0' + ACK
7.175516000000000,I2C,B + ACK
7.175828000000000,I2C,W + NAK
7.176442000000000,I2C,Setup Write to ['152'] + ACK
7.176766000000000,I2C,'5' + ACK
7.177412000000000,I2C,Setup Read to ['153'] + ACK
7.177718000000000,I2C,'255' + ACK
7.185362000000000,I2C,0 + ACK
7.185666000000000,I2C,M + ACK
7.185978000000000,I2C,'5' + NAK
7.186592000000000,I2C,Setup Write to ['160'] + NAK
7.187196000000000,I2C,Setup Read to ['161'] + NAK
7.187812000000000,I2C,Setup Write to ['162'] + NAK
7.188416000000000,I2C,Setup Read to ['163'] + NAK
7.189178000000000,I2C,Setup Write to ['164'] + NAK
7.196928000000000,I2C,Setup Read to ['165'] + NAK
7.197542000000000,I2C,Setup Write to ['166'] + NAK
7.198146000000000,I2C,Setup Read to ['167'] + NAK
7.198760000000000,I2C,Setup Write to ['168'] + NAK
7.199366000000000,I2C,Setup Read to ['169'] + NAK
7.200128000000000,I2C,Setup Write to ['170'] + NAK
