Time [s], Analyzer Name, Decoded Protocol Result
6.232446000000000,I2C,Setup Read to [C] + NAK
6.237176000000000,I2C,Setup Read to [M] + NAK
6.237940000000000,I2C,Setup Read to [E] + NAK
6.238706000000000,I2C,Setup Write to [@] + NAK
6.239462000000000,I2C,Setup Write to [D] + NAK
6.240218000000000,I2C,Setup Write to [F] + NAK
6.240972000000000,I2C,Setup Write to [N] + NAK
6.241728000000000,I2C,Setup Write to [L] + NAK
6.242484000000000,I2C,Setup Write to [L] + NAK
6.243238000000000,I2C,Setup Write to ['144'] + NAK
6.244142000000000,I2C,Setup Write to ['146'] + NAK
6.248714000000000,I2C,Setup Write to ['148'] + ACK
6.249206000000000,I2C,'5' + ACK
6.250004000000000,I2C,Setup Read to ['149'] + ACK
6.250476000000000,I2C,'5' + ACK
6.250948000000000,I2C,'0' + ACK
6.251420000000000,I2C,'0' + ACK
6.251900000000000,I2C,B + NAK
6.252666000000000,I2C,Setup Write to ['150'] + ACK
6.253158000000000,I2C,'5' + ACK
6.253954000000000,I2C,Setup Read to ['151'] + ACK
6.254428000000000,I2C,L + ACK
6.254900000000000,I2C,'255' + ACK
6.260092000000000,I2C,0 + ACK
6.260572000000000,I2C,M + NAK
6.261338000000000,I2C,Setup Write to ['152'] + ACK
6.261830000000000,I2C,'5' + ACK
6.262626000000000,I2C,Setup Read to ['153'] + ACK
6.263100000000000,I2C,D + ACK
6.263572000000000,I2C,D + ACK
6.264044000000000,I2C,D + ACK
6.264524000000000,I2C,D + NAK
6.265288000000000,I2C,Setup Write to ['160'] + NAK
6.266044000000000,I2C,Setup Read to ['161'] + NAK
6.271320000000000,I2C,Setup Write to ['162'] + NAK
6.272076000000000,I2C,Setup Read to ['163'] + NAK
6.272840000000000,I2C,Setup Write to ['164'] + NAK
6.273596000000000,I2C,Setup Read to ['165'] + NAK
6.274362000000000,I2C,Setup Write to ['166'] + NAK
6.275118000000000,I2C,Setup Read to ['167'] + NAK
6.275882000000000,I2C,Setup Write to ['168'] + NAK
6.276638000000000,I2C,Setup Read to ['169'] + NAK
6.277550000000000,I2C,Setup Write to ['170'] + NAK
6.301194000000000,I2C,Setup Read to ['171'] + NAK
6.301960000000000,I2C,Setup Write to ['172'] + NAK
6.302714000000000,I2C,Setup Read to ['173'] + NAK
6.303480000000000,I2C,Setup Write to ['174'] + NAK
6.304236000000000,I2C,Setup Read to ['175'] + NAK
6.305642000000000,I2C,Setup Read to [C] + NAK
6.306408000000000,I2C,Setup Read to [M] + NAK
6.307174000000000,I2C,Setup Read to [E] + NAK
6.307938000000000,I2C,Setup Write to [@] + NAK
6.308694000000000,I2C,Setup Write to [D] + NAK
6.309450000000000,I2C,Setup Write to [F] + NAK
6.310204000000000,I2C,Setup Write to [N] + NAK
6.311108000000000,I2C,Setup Write to [L] + NAK
6.316202000000000,I2C,Setup Write to [L] + NAK
6.316958000000000,I2C,Setup Write to ['144'] + NAK
6.317714000000000,I2C,Setup Write to ['146'] + NAK
6.318470000000000,I2C,Setup Write to ['148'] + ACK
6.318960000000000,I2C,'5' + ACK
6.319758000000000,I2C,Setup Read to ['149'] + ACK
6.320230000000000,I2C,'5' + ACK
6.320702000000000,I2C,'0' + ACK
6.321176000000000,I2C,'0' + ACK
6.321654000000000,I2C,B + NAK
6.326930000000000,I2C,Setup Write to ['150'] + ACK
6.327422000000000,I2C,'5' + ACK
6.328220000000000,I2C,Setup Read to ['151'] + ACK
6.328692000000000,I2C,L + ACK
6.329164000000000,I2C,'255' + ACK
6.329636000000000,I2C,0 + ACK
6.330116000000000,I2C,M + NAK
6.330882000000000,I2C,Setup Write to ['152'] + ACK
6.331374000000000,I2C,'5' + ACK
6.332170000000000,I2C,Setup Read to ['153'] + ACK
6.332644000000000,I2C,D + ACK
6.333264000000000,I2C,D + ACK
6.338112000000000,I2C,D + ACK
6.338592000000000,I2C,D + NAK
6.339356000000000,I2C,Setup Write to ['160'] + NAK
6.340112000000000,I2C,Setup Read to ['161'] + NAK
6.340878000000000,I2C,Setup Write to ['162'] + NAK
6.341632000000000,I2C,Setup Read to ['163'] + NAK
6.342398000000000,I2C,Setup Write to ['164'] + NAK
6.343154000000000,I2C,Setup Read to ['165'] + NAK
6.344252000000000,I2C,Setup Write to ['166'] + NAK
6.349394000000000,I2C,Setup Read to ['167'] + NAK
6.350008000000000,I2C,Setup Write to ['168'] + NAK
6.350614000000000,I2C,Setup Read to ['169'] + NAK
6.351228000000000,I2C,Setup Write to ['170'] + NAK
6.351832000000000,I2C,Setup Read to ['171'] + NAK
6.352446000000000,I2C,Setup Write to ['172'] + NAK
6.353052000000000,I2C,Setup Read to ['173'] + NAK
6.353666000000000,I2C,Setup Write to ['174'] + NAK
6.354270000000000,I2C,Setup Read to ['175'] + NAK
6.355674000000000,I2C,Setup Read to [C] + NAK
6.360826000000000,I2C,Setup Read to [M] + NAK
6.361440000000000,I2C,Setup Read to [E] + NAK
