Time [s], Analyzer Name, Decoded Protocol Result
6.375860000000000,I2C,Setup Read to [C] + NAK
6.380604000000000,I2C,Setup Read to [M] + NAK
6.381368000000000,I2C,Setup Read to [E] + NAK
6.382134000000000,I2C,Setup Write to [@] + NAK
6.382888000000000,I2C,Setup Write to [D] + NAK
6.383644000000000,I2C,Setup Write to [F] + NAK
6.384400000000000,I2C,Setup Write to [N] + NAK
6.385156000000000,I2C,Setup Write to [L] + NAK
6.385910000000000,I2C,Setup Write to [L] + NAK
6.386666000000000,I2C,Setup Write to ['144'] + NAK
6.387422000000000,I2C,Setup Write to ['146'] + NAK
6.388176000000000,I2C,Setup Write to ['148'] + NAK
6.388932000000000,I2C,Setup Read to ['149'] + NAK
6.393836000000000,I2C,Setup Write to ['150'] + NAK
6.394592000000000,I2C,Setup Read to ['151'] + NAK
6.395356000000000,I2C,Setup Write to ['152'] + NAK
6.396112000000000,I2C,Setup Read to ['153'] + NAK
6.396878000000000,I2C,Setup Write to ['160'] + NAK
6.397632000000000,I2C,Setup Read to ['161'] + NAK
6.398398000000000,I2C,Setup Write to ['162'] + NAK
6.399154000000000,I2C,Setup Read to ['163'] + NAK
6.399918000000000,I2C,Setup Write to ['164'] + NAK
6.404862000000000,I2C,Setup Read to ['165'] + NAK
6.405626000000000,I2C,Setup Write to ['166'] + NAK
6.406382000000000,I2C,Setup Read to ['167'] + NAK
6.407148000000000,I2C,Setup Write to ['168'] + NAK
6.407904000000000,I2C,Setup Read to ['169'] + NAK
6.408668000000000,I2C,Setup Write to ['170'] + NAK
6.409424000000000,I2C,Setup Read to ['171'] + NAK
6.410188000000000,I2C,Setup Write to ['172'] + NAK
6.410944000000000,I2C,Setup Read to ['173'] + NAK
6.428916000000000,I2C,Setup Write to ['174'] + NAK
6.433500000000000,I2C,Setup Read to ['175'] + NAK
